Timestamp,Model,Prompt_Tokens,Total_Tokens
2026-08-21 11:27:39,gemini-3.5-flash,1272,1862
2026-08-21 11:27:58,gemini-3.5-flash,1272,2082
2026-08-21 11:28:21,gemini-3.5-flash,1272,1666
2026-08-21 11:28:33,gemini-3.5-flash,1272,2287
2026-08-21 11:28:45,gemini-3.5-flash,1272,2194
2026-08-21 11:29:22,gemini-3.5-flash,1272,2121
2026-08-21 11:42:52,gemini-3.5-flash,1272,3290
2026-08-21 11:43:06,gemini-3.5-flash,1272,2829
2026-08-21 11:43:23,gemini-3.5-flash,1272,2012
2026-08-21 11:57:59,gemini-3.5-flash,1272,2653
2026-08-21 11:58:36,gemini-3.5-flash,1272,1704
2026-08-21 11:59:34,gemini-3.5-flash,1272,3037
2026-08-21 12:05:29,gemini-3.5-flash,1272,2708
2026-08-21 12:05:42,gemini-3.5-flash,1272,2555
2026-08-21 12:05:57,gemini-3.5-flash,1272,2403
2026-08-21 12:06:13,gemini-3.5-flash,1272,3419
2026-08-21 12:06:33,gemini-3.5-flash,1272,4540
2026-08-21 12:19:54,gemini-3.1-pro-preview,1272,5214
2026-08-21 12:20:25,gemini-3.1-pro-preview,1272,1737
2026-08-21 12:20:41,gemini-3.1-pro-preview,1272,1473
2026-08-21 12:21:00,gemini-3.1-pro-preview,1272,1824
2026-08-21 12:21:16,gemini-3.1-pro-preview,1272,1544
2026-08-25 10:36:49,gemini-3.1-pro-preview,1243,3568
2026-08-25 18:41:58,gemini-3.1-pro-preview,1298,4412
2026-08-25 18:44:01,gemini-3.1-pro-preview,1326,3813
2026-08-25 18:46:21,gemini-3.1-pro-preview,1326,5675
2026-08-25 18:47:33,gemini-3.1-pro-preview,1326,4743
2026-08-25 19:13:54,gemini-3.1-pro-preview,1326,4160
2026-08-25 19:16:45,gemini-3.1-pro-preview,1326,4932
